horodate,fichier_testé,pct_ref_extr,pct_extr_ref,temps_execution
20250625_092710,cv-1748015449.json,66.22,72.06,8.583
20250625_092723,cv-1747808215.json,0,0,12.356
20250625_092730,cv-1742030723.json,80.95,79.07,7.279
20250625_092739,cv-1747993094.json,44.44,47.46,9.381
20250625_092753,cv-1733212678.json,0,0,13.002
20250625_092758,cv-1747989347.json,53.33,60,5.005
20250625_092807,cv-1747947354.json,79.17,76,9.524
20250625_092817,cv-1747944981.json,88.71,80.88,9.677
20250625_092825,cv-1747927972.json,63.89,60.53,7.845
20250625_092838,cv-1749036643.json,69.23,62.07,13.126
20250625_094435,cv-1748015449.json,65.79,70.42,14.905
20250625_094447,cv-1742030723.json,83.33,83.33,9.336
20250625_112329,cv-1748015449.json,68.92,73.91,15.757
20250625_112337,cv-1747808215.json,0,0,7.921
20250625_112344,cv-1742030723.json,80.95,79.07,6.229
20250625_112407,cv-1747993094.json,44.44,46.67,22.911
20250625_112457,cv-1748015449.json,69.74,75.71,7.987
20250625_112503,cv-1747808215.json,0,0,6.401
20250625_112509,cv-1742030723.json,80.95,79.07,5.286
